specialtyCode,specialtyName,branchCode,branchName,documentCode,documentName,categoryCode,categoryName,isRequired
A11,(1함대)일반,2,해군,07,수상(전국/도/지역대회)증명서,,복무지역선택병,true
A11,(1함대)일반,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
A11,(1함대)일반,2,해군,10,어학성적증명서,,복무지역선택병,true
A11,(1함대)일반,2,해군,17,국가유공자증명서,,복무지역선택병,true
A11,(1함대)일반,2,해군,42,소속본당 주임신부/수도자 추천서,,복무지역선택병,true
A11,(1함대)일반,2,해군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,복무지역선택병,true
A11,(1함대)일반,2,해군,48,다자녀가정자녀 부모의 가족관계증명서,,복무지역선택병,true
A11,(1함대)일반,2,해군,49,한국사 또는 한국어능력검정인증서(성적표 등),,복무지역선택병,true
A11,(1함대)일반,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,복무지역선택병,true
A11.05,(1함대)조리,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
A11.05,(1함대)조리,2,해군,03,자격면허증 사본,,복무지역선택병,true
A11.05,(1함대)조리,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
A11.05,(1함대)조리,2,해군,17,국가유공자증명서,,복무지역선택병,true
A11.05,(1함대)조리,2,해군,25,경력증명서,,복무지역선택병,true
A11.05,(1함대)조리,2,해군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,복무지역선택병,true
A11.05,(1함대)조리,2,해군,48,다자녀가정자녀 부모의 가족관계증명서,,복무지역선택병,true
A11.05,(1함대)조리,2,해군,49,한국사 또는 한국어능력검정인증서(성적표 등),,복무지역선택병,true
A11.05,(1함대)조리,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,복무지역선택병,true
A43,(1함대)기관,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
A43,(1함대)기관,2,해군,03,자격면허증 사본,,복무지역선택병,true
A43,(1함대)기관,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
A43,(1함대)기관,2,해군,17,국가유공자증명서,,복무지역선택병,true
A43,(1함대)기관,2,해군,25,경력증명서,,복무지역선택병,true
A43,(1함대)기관,2,해군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,복무지역선택병,true
A43,(1함대)기관,2,해군,48,다자녀가정자녀 부모의 가족관계증명서,,복무지역선택병,true
A43,(1함대)기관,2,해군,49,한국사 또는 한국어능력검정인증서(성적표 등),,복무지역선택병,true
A43,(1함대)기관,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,복무지역선택병,true
B11,(2함대)일반,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
B11,(2함대)일반,2,해군,03,자격면허증 사본,,복무지역선택병,true
B11,(2함대)일반,2,해군,07,수상(전국/도/지역대회)증명서,,복무지역선택병,true
B11,(2함대)일반,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
B11,(2함대)일반,2,해군,10,어학성적증명서,,복무지역선택병,true
B11,(2함대)일반,2,해군,17,국가유공자증명서,,복무지역선택병,true
B11,(2함대)일반,2,해군,42,소속본당 주임신부/수도자 추천서,,복무지역선택병,true
B11,(2함대)일반,2,해군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,복무지역선택병,true
B11,(2함대)일반,2,해군,48,다자녀가정자녀 부모의 가족관계증명서,,복무지역선택병,true
B11,(2함대)일반,2,해군,49,한국사 또는 한국어능력검정인증서(성적표 등),,복무지역선택병,true
B11,(2함대)일반,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,복무지역선택병,true
B11.05,(2함대)조리,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
B11.05,(2함대)조리,2,해군,03,자격면허증 사본,,복무지역선택병,true
B11.05,(2함대)조리,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
B11.05,(2함대)조리,2,해군,17,국가유공자증명서,,복무지역선택병,true
B11.05,(2함대)조리,2,해군,25,경력증명서,,복무지역선택병,true
B11.05,(2함대)조리,2,해군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,복무지역선택병,true
B11.05,(2함대)조리,2,해군,48,다자녀가정자녀 부모의 가족관계증명서,,복무지역선택병,true
B11.05,(2함대)조리,2,해군,49,한국사 또는 한국어능력검정인증서(성적표 등),,복무지역선택병,true
B11.05,(2함대)조리,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,복무지역선택병,true
B43,(2함대)기관,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
B43,(2함대)기관,2,해군,03,자격면허증 사본,,복무지역선택병,true
B43,(2함대)기관,2,해군,08,고교생활기록부 사본,,복무지역선택병,true
B43,(2함대)기관,2,해군,17,국가유공자증명서,,복무지역선택병,true
B43,(2함대)기관,2,해군,25,경력증명서,,복무지역선택병,true
